0.00053502,0.00671921,0.75608182,-0.01352620,-0.00259791,0.03117502,0.99941903,-0.51927757,-0.03435879,0.06498677,0.22209974,0.01617744,0.01867245,0.22760698,0.09996510,-0.12507263,0.36679640,-0.31091654,-0.08434518,0.11143652,0.04792785,-0.03590382,0.42105141,0.21009518,-0.00355369,0.94799322,0.00134408,0.00000000,-0.01636060,0.19052942,-0.59086466,0.35884008,0.46751013,-0.07319088,0.02690302,-0.06348617
0.03588957,0.00763768,0.75781298,-0.00219393,-0.00139058,0.03208780,0.99948168,-0.49599007,-0.09010432,0.04860120,0.26966536,0.05357849,0.03247813,0.21182531,0.02502844,-0.13518681,0.53163069,-0.23419216,-0.07357334,0.11074824,0.04247038,-0.03774964,0.41289213,0.19847275,-0.00893267,0.96456474,0.00162216,0.00000000,-0.01634621,0.22617736,-0.58665979,0.36768529,0.47853991,-0.07382786,0.03084943,-0.06206723
0.07334191,0.01350302,0.76086235,0.00896043,-0.00341881,0.03378778,0.99938303,-0.45149368,-0.13904239,0.03378619,0.30912468,0.06736993,0.04716269,0.16901337,-0.03975004,-0.14543702,0.70968360,-0.12395352,-0.06592045,0.10357595,0.03688523,-0.03975176,0.40274239,0.18313146,-0.02996184,0.96503359,0.00230170,0.00000000,-0.01787239,0.27587327,-0.57750493,0.37744987,0.49690619,-0.07349457,0.03558688,-0.05938685
0.10964531,0.02213111,0.76450247,0.01884532,-0.00842047,0.03550082,0.99915648,-0.39198327,-0.17772505,0.02116114,0.32644126,0.05637160,0.06222399,0.09709970,-0.08953330,-0.15542080,0.87072629,-0.01338755,-0.06183562,0.09108797,0.02869407,-0.04078970,0.38851234,0.17062771,-0.06339671,0.94916320,0.00358546,0.00000000,-0.01937906,0.33212811,-0.56359237,0.38603061,0.51658791,-0.07210670,0.03890185,-0.05562083
0.14567195,0.03065507,0.77095163,0.02246970,-0.01370808,0.03867686,0.99890506,-0.32059121,-0.19976556,0.00786729,0.31936610,0.02642742,0.07701941,0.01114567,-0.12125982,-0.16366480,1.00518882,0.05800669,-0.06120669,0.07468567,0.02367337,-0.04370074,0.37103340,0.16769712,-0.10446943,0.92008597,0.00572350,0.00000000,-0.01916353,0.39106938,-0.54428107,0.39241734,0.53493637,-0.06959853,0.04033152,-0.05056212
0.18014078,0.03646414,0.77736884,0.02202285,-0.01769331,0.04378486,0.99864149,-0.24582663,-0.20892435,-0.00491656,0.29565355,-0.01115359,0.09047823,-0.08407728,-0.13768642,-0.17219442,1.08852100,0.08508452,-0.06232814,0.05656480,0.02202199,-0.04601241,0.34866896,0.17592269,-0.14902891,0.87926924,0.00889528,0.00110928,-0.01660747,0.44881868,-0.52096468,0.39531973,0.55075210,-0.06600904,0.03996539,-0.04437995
0.21284227,0.03909572,0.78325057,0.02020025,-0.01906142,0.05040419,0.99834263,-0.17425154,-0.20917729,-0.01609814,0.26475611,-0.04928203,0.10183953,-0.17964852,-0.14274421,-0.18385944,1.11044979,0.07651331,-0.06372775,0.03829929,0.02110752,-0.04590899,0.32014874,0.19328219,-0.19354123,0.82886493,0.01314831,0.00259457,-0.01189863,0.50289494,-0.49529076,0.39433631,0.56365156,-0.06149478,0.03796048,-0.03728730
0.24402840,0.03969715,0.78633744,0.01857448,-0.01816943,0.05699778,0.99803615,-0.10946485,-0.20419146,-0.02494849,0.23314300,-0.08596161,0.11074393,-0.26784083,-0.14083830,-0.19691962,1.07064998,0.04393243,-0.06493051,0.02076735,0.01934901,-0.04356981,0.28626573,0.21725501,-0.23475955,0.77264673,0.01834955,0.00417958,-0.00555582,0.55094296,-0.46930113,0.38913089,0.57415599,-0.05631437,0.03453883,-0.02983786
0.27419478,0.03968663,0.78830403,0.01745617,-0.01576823,0.06148702,0.99783063,-0.05238817,-0.19673231,-0.03097663,0.20470940,-0.12225106,0.11713120,-0.34504300,-0.13398087,-0.20716628,0.97704238,-0.00339440,-0.06620190,0.00483662,0.01733197,-0.03995953,0.24931078,0.24571066,-0.27001375,0.71537375,0.02417953,0.00600867,0.00175365,0.59026134,-0.44444916,0.37961999,0.58399993,-0.05076674,0.03017264,-0.02272539
0.30370742,0.03974869,0.78859049,0.01860523,-0.01254968,0.06267656,0.99778152,-0.00339900,-0.19387873,-0.03231465,0.18337852,-0.15993093,0.12096991,-0.40767178,-0.12708263,-0.20814373,0.82838905,-0.04225942,-0.06799085,-0.00878850,0.01173495,-0.03619437,0.21234010,0.27721530,-0.29761413,0.66101962,0.03019141,0.00785151,0.00933166,0.61995870,-0.42195591,0.36613318,0.59485227,-0.04514723,0.02504736,-0.01659132
0.33505586,0.03998167,0.78393716,0.02621842,-0.00743286,0.06104952,0.99776262,0.03992932,-0.20606714,-0.02575182,0.17685789,-0.19890331,0.12199222,-0.44733948,-0.12725978,-0.19445758,0.63273454,-0.04562993,-0.07071592,-0.02013295,-0.00123540,-0.03507874,0.17875193,0.30981296,-0.31735787,0.61287200,0.03591461,0.00943558,0.01672680,0.64174837,-0.40250540,0.34959808,0.60900694,-0.03969528,0.01968152,-0.01176866
0.36619452,0.04010860,0.77901012,0.03285003,-0.00309229,0.05738235,0.99780691,0.07863139,-0.21656357,-0.01817242,0.18014111,-0.24932581,0.11997464,-0.48127884,-0.12353090,-0.17297059,0.43076205,-0.04496789,-0.07441408,-0.02883007,-0.01143468,-0.03283483,0.14759210,0.34001362,-0.32998329,0.57347196,0.04095850,0.01075029,0.02352018,0.65190095,-0.38515967,0.33105728,0.62825596,-0.03459922,0.01470938,-0.00838993
